In real time|People who come|People in queue(first/second)|People who left|Transported People|Gondola status
(7, 3, 0)|0|[0, 0]|2|6|status.waiting
(7, 3, 1)|0|[0, 0]|2|6|status.waiting
(7, 3, 2)|0|[0, 0]|2|6|status.waiting
(7, 3, 3)|0|[0, 0]|2|6|status.waiting
(7, 3, 4)|0|[0, 0]|2|6|status.waiting
(7, 3, 5)|0|[0, 0]|2|6|status.waiting
(7, 3, 6)|0|[0, 0]|2|6|status.waiting
(7, 3, 7)|0|[0, 0]|2|6|status.waiting
(7, 3, 8)|0|[0, 0]|2|6|status.waiting
(7, 3, 9)|0|[0, 0]|2|6|status.waiting
(7, 3, 10)|0|[0, 0]|2|6|status.waiting
(7, 3, 11)|0|[0, 0]|2|6|status.waiting
(7, 3, 12)|0|[0, 0]|2|6|status.waiting
(7, 3, 13)|0|[0, 0]|2|6|status.waiting
(7, 3, 14)|0|[0, 0]|2|6|status.waiting
(7, 3, 15)|0|[0, 0]|2|6|status.waiting
(7, 3, 16)|0|[0, 0]|2|6|status.waiting
(7, 3, 17)|0|[0, 0]|2|6|status.waiting
(7, 3, 18)|0|[0, 0]|2|6|status.waiting
(7, 3, 19)|0|[0, 0]|2|6|status.waiting
(7, 3, 20)|0|[0, 0]|2|6|status.waiting
(7, 3, 21)|0|[0, 0]|2|6|status.moving
(7, 3, 22)|0|[0, 0]|2|6|status.moving
(7, 3, 23)|0|[0, 0]|2|6|status.moving
(7, 3, 24)|0|[0, 0]|2|6|status.moving
(7, 3, 25)|0|[0, 0]|2|6|status.moving
(7, 3, 26)|0|[0, 0]|2|6|status.moving
(7, 3, 27)|0|[0, 0]|2|6|status.moving
(7, 3, 28)|0|[0, 0]|2|6|status.moving
(7, 3, 29)|0|[0, 0]|2|6|status.moving
(7, 3, 30)|0|[0, 0]|2|6|status.moving
(7, 3, 31)|0|[0, 0]|2|6|status.moving
(7, 3, 32)|0|[0, 0]|2|6|status.moving
(7, 3, 33)|0|[0, 0]|2|6|status.moving
(7, 3, 34)|0|[0, 0]|2|6|status.moving
(7, 3, 35)|0|[0, 0]|2|6|status.moving
(7, 3, 36)|0|[0, 0]|2|6|status.moving
(7, 3, 37)|0|[0, 0]|2|6|status.moving
(7, 3, 38)|0|[0, 0]|2|6|status.moving
(7, 3, 39)|0|[0, 0]|2|6|status.moving
(7, 3, 40)|0|[0, 0]|2|6|status.moving
(7, 3, 41)|0|[0, 0]|2|6|status.moving
(7, 3, 42)|0|[0, 0]|2|6|status.moving
(7, 3, 43)|0|[0, 0]|2|6|status.moving
(7, 3, 44)|0|[0, 0]|2|6|status.moving
